Player,Team,League,Position,Age,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",xA per 90,Key passes per 90,Passes to final third per 90,Progressive passes per 90,"Accurate progressive passes, %",Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Aerial duels per 90,"Direct free kicks on target, %","Penalty conversion, %"
J. Todibo,Nice,Ligue 1,Centre-back,23,30000000,2027-06-30,7,666,0,0.25,1,0.08,14.46,66.36,French Guiana,"French Guiana, France",right,190,88,no,10.41,6.76,76,2.43,72.22,0.14,0.16,0.41,5.14,6.26,0.41,0,0,0,0,0,0,0,0.03,0,0,3,0.41,0,0,0.14,0.14,0,0.95,71.43,2.84,52.38,0.41,2.3,0.27,62.97,0.54,81.49,92.21,32.43,84.17,0.01,0.14,7.7,11.49,82.35,0,,0,,0,0,0,0,,,4.19,,0,0
A. Christensen,Barcelona,La Liga,Centre-back,27,30000000,2026-06-30,8,633,0,0,1,0,8.96,66.67,Denmark,Denmark,right,187,82,no,5.97,3.41,79.17,3.27,73.91,0.14,0.29,0.28,3.13,6.47,0.28,1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0,0,0,0,0.85,16.67,0.57,2.13,0,62.84,0.28,76.64,96.1,26.73,94.68,0,0.14,8.39,8.82,85.48,0,,0,,0,0,0,0,,,1.99,,0,0
E. Tapsoba,Bayer Leverkusen,Bundesliga,Centre-back,24,30000000,2028-06-30,7,664,0,0.02,0,0.04,13.42,63.64,Burkina Faso,Burkina Faso,right,192,84,no,5.69,4.34,75,3.39,44,0,0,0,2.44,3.35,1.22,2,0.27,0,0,0,0,0,0,0,0,1,0.14,0,0,0,0.14,0,1.49,72.73,3.12,65.22,0.14,2.3,0.41,62.21,0.14,77.8,94.43,34.43,90.94,0.01,0.14,8.95,13.28,85.71,0,,0,,0,0,0,0,,,1.9,,0,0
J. Gomez,Liverpool,Premier League,Centre-back,26,30000000,2027-06-30,7,493,0,0.06,0,0.11,17.89,47.96,England,"England, Gambia",right,188,77,no,7.48,7.48,36.59,2.56,57.14,0.37,0.53,0.18,4.38,6.32,0.91,1,0.18,0,0,0,0,0,0.01,0,0,1,0.18,0,0,0,2.01,27.27,1.64,55.56,4.75,53.85,0.91,1.1,1.1,42.9,1.1,56.04,90.23,13.69,82.67,0.02,0.37,3.65,5.11,67.86,0,,0,,0,0,0,0,,,2.56,,0,0
K. Zouma,West Ham United,Premier League,Centre-back,28,28000000,2025-06-30,8,802,1,0.17,0,0,9.31,56.63,France,"France, Central African Republic",right,190,95,no,7.97,2.13,57.89,4.49,60,0.22,0.23,0.67,6.51,6.57,0.45,1,0.11,0,0,0.11,1,0.11,0.02,1,0.11,2,0.22,100,50,0,0,0,0.11,0,0.79,28.57,0.22,0.11,0.11,17.06,0.22,26.71,87.82,10.77,70.83,0,0,2.02,4.38,53.85,0,,0,,0,0,0,0,,,0.9,,0,0
M. Simakan,RB Leipzig,Bundesliga,Centre-back,23,28000000,2027-06-30,7,655,0,0.13,1,0,15.94,61.21,France,"France, Guinea",right,187,82,no,10.17,7.01,72.55,4.81,60,0.55,0.77,0.14,4.53,6.39,0.96,1,0.14,0,0,0,0,0,0.02,0,0,2,0.27,50,0,0.14,0.27,0,0.82,50,2.61,36.84,1.1,0.55,0.41,46.03,0.41,60.46,90.91,21.85,80.5,0,0,5.77,7.15,78.85,0,,0,,0,0,0,0,,,2.34,,0,0
A. Rrahmani,Napoli,Serie A,Centre-back,29,25000000,2027-06-30,3,304,0,0,0,0.33,9.77,66.67,Kosovo,"Kosovo, Albania",right,192,83,no,5.33,3.55,66.67,3.26,63.64,0,0,0,2.96,4.35,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,100,1.48,60,0.89,0.89,0,54.18,0,74.31,91.24,25.16,82.35,0.1,0.3,8.59,7.99,81.48,0,,0,,0,0,0,0,,,2.96,,0,0
A. Disasi,Chelsea,Premier League,Centre-back,25,25000000,2025-06-30,8,816,1,0.87,0,0.13,11.14,57.43,France,"France, Congo DR",right,190,86,no,5.96,4.08,54.05,3.31,70,0.22,0.36,0.55,3.53,5.82,0.55,2,0.22,0,0,0.11,1,0.11,0.1,0,0,6,0.66,33.33,16.667,0,0.66,16.67,0.44,25,1.65,20,0.88,0.88,0.33,59.12,0.44,72.57,94.68,23.05,89.47,0.01,0.33,6.07,8.49,84.42,0,,0,,0,0,0,0,,,2.76,,0,0
M. Kilman,Wolverhampton Wanderers,Premier League,Centre-back,26,25000000,2028-06-30,8,820,0,0.79,0,0.35,10.87,53.54,England,"England, Ukraine",left,194,89,no,9.33,4.28,64.1,3.29,43.33,0,0,0.66,6.59,7.89,0.66,1,0.11,0,0,0,0,0,0.09,0,0,2,0.22,100,0,0,0.11,0,0.44,100,1.32,66.67,0.44,0.55,0.22,29.63,0.33,45.22,83.98,22.17,75.74,0.04,0.22,6.15,7.35,58.21,0,,0,,0,0,0,0,,,0.99,,0,0
E. Konsa,Aston Villa,Premier League,Centre-back,25,22000000,2028-06-30,8,841,0,0.33,0,0,9.1,62.35,England,"England, Congo DR",right,183,77,no,7.71,3.42,65.63,1.71,56.25,0.11,0.14,0.96,5.35,7.04,0.54,1,0.11,0,0,0,0,0,0.04,0,0,3,0.32,33.33,0,0,0,0,0.64,83.33,2.57,66.67,0.43,0.54,0.32,31.78,1.39,41.95,93.62,13.16,87.8,0,0,3,4.71,77.27,0,,0,,0,0,0,0,,,1.39,,0,0
